Américain;Américain;Viande
Boulette;Boulette;Viande
Pastrami;Pastrami;Viande
Jambon Fromage;Jambon Fromage;Viande
Martino;Américain piquant;Viande
Salade de viande;Salade de viande;Viande
Jambon;Jambon;Viande
Parme;Jambon de Parme;Viande
Blanc de poulet;Blanc de poulet;Poulet
Curry piquant;Poulet au curry piquant;Poulet
Poulet Hawaï;Poulet Hawaï;Poulet
Thon;Salade de thon;Poisson
Thon piquant;Salade de thon piquant;Poisson
Saumon;Saumon(mariné) + Philadelphia;Poisson
Fromage;Fromage;Végétarien
Tomate Mozza;Tomate + mozzarella + pesto;Végétarien
Oeufs durs;Salade d'oeufs durs;Végétarien
Brie;Brie;Végétarien
Feta;Feta;Végétarien
Chèvre;Fromage de chèvre;Végétarien
Spread carotte sésame cressonnette;Spread de carotte + sésame + cressonnette;Végan
Houmous;Houmous;Végan
Mayo;Mayo végan;Végan
Avocat;Spread d'avocat;Végan
Carolina;Salade d'oeufs durs + lard + cressonnette;Spécialités
Parmigiana;Filet américain + tomate séchée + roquette + pignons;Spécialités
Poulet cocktail;Blanc de poulet + sauce cocktail + pêche + cressonnette;Spécialités
BBQ chicken;Poulet + sauce barbecue + lard + tomate + salade;Spécialités
Flying Brie;Brie + miel + noix + roquette;Spécialités
Provence;Feta + tomate séchée + roquette;Spécialités

